»’∆⁄,◊Ó∏ﬂ∆¯Œ¬,◊ÓµÕ∆¯Œ¬,ÃÏ∆¯
2023-01-01,18,16,∂‡‘∆
2023-01-02,21,16,∂‡‘∆
2023-01-03,19,16,∂‡‘∆
2023-01-04,19,17,∂‡‘∆
2023-01-05,22,17,∂‡‘∆
2023-01-06,23,15,∂‡‘∆
2023-01-07,22,17,∂‡‘∆
2023-01-08,19,18,∂‡‘∆
2023-01-09,20,18,∂‡‘∆
2023-01-10,21,18,“ı
2023-02-01,23,17,∂‡‘∆
2023-02-02,23,16,∂‡‘∆
2023-02-03,20,16,∂‡‘∆
2023-02-04,19,17,“ı
2023-02-05,20,18,∂‡‘∆
2023-02-06,21,19,∂‡‘∆
2023-02-07,23,18,∂‡‘∆
2023-02-08,21,18,∂‡‘∆
2023-02-09,21,19,∂‡‘∆
2023-02-10,25,19,∂‡‘∆
2023-03-01,24,17,«Á
2023-03-02,23,17,∂‡‘∆~«Á
2023-03-03,22,16,«Á
2023-03-04,23,16,∂‡‘∆~«Á
2023-03-05,24,17,∂‡‘∆~«Á
2023-03-06,24,17,«Á
2023-03-07,24,18,«Á
2023-03-08,25,19,«Á
2023-03-09,27,19,«Á
2023-03-10,26,20,«Á~∂‡‘∆
2023-04-01,22,20,∂‡‘∆~“ı
2023-04-02,23,19,∂‡‘∆~–°”Í
2023-04-03,23,21,∂‡‘∆~“ı
2023-04-04,25,23,“ı~’Û”Í
2023-04-05,27,22,“ı~÷–”Í
2023-04-06,27,20,∂‡‘∆~–°”Í
2023-04-07,24,19,∂‡‘∆
2023-04-08,24,19,∂‡‘∆
2023-04-09,22,19,“ı~∂‡‘∆
2023-04-10,23,21,∂‡‘∆~“ı
2023-05-01,28,23,∂‡‘∆
2023-05-02,27,23,∂‡‘∆
2023-05-03,29,24,∂‡‘∆
2023-05-04,30,25,∂‡‘∆
2023-05-05,31,26,«Á~∂‡‘∆
2023-05-06,31,25,∂‡‘∆~’Û”Í
2023-05-07,30,22,“ı~’Û”Í
2023-05-08,25,22,“ı~’Û”Í
2023-05-09,25,23,∂‡‘∆
2023-05-10,27,23,∂‡‘∆
2023-06-01,32,27,∂‡‘∆~¿◊’Û”Í
2023-06-02,33,28,∂‡‘∆
2023-06-03,32,28,“ı~∂‡‘∆
2023-06-04,34,27,∂‡‘∆~¿◊’Û”Í
2023-06-05,32,27,’Û”Í
2023-06-06,31,27,¿◊’Û”Í~¥Û”Í
2023-06-07,30,27,“ı~¿◊’Û”Í
2023-06-08,32,28,∂‡‘∆~’Û”Í
2023-06-09,33,27,¿◊’Û”Í
2023-06-10,32,27,∂‡‘∆~’Û”Í
2023-07-01,32,26,“ı~’Û”Í
2023-07-02,31,26,“ı~¿◊’Û”Í
2023-07-03,32,27,“ı~’Û”Í
2023-07-04,32,28,“ı~∂‡‘∆
2023-07-05,32,29,∂‡‘∆
2023-07-06,33,28,“ı~«Á
2023-07-07,34,28,∂‡‘∆~«Á
2023-07-08,33,28,∂‡‘∆~«Á
2023-07-09,33,28,∂‡‘∆~«Á
2023-07-10,33,29,∂‡‘∆~«Á
2023-08-01,32,28,“ı~∂‡‘∆
2023-08-02,33,28,“ı~«Á
2023-08-03,34,27,“ı~¿◊’Û”Í
2023-08-04,33,27,“ı~’Û”Í
2023-08-05,33,27,“ı~∂‡‘∆
2023-08-06,33,27,“ı~∂‡‘∆
2023-08-07,33,28,“ı~∂‡‘∆
2023-08-08,34,29,“ı~«Á
2023-08-09,34,28,∂‡‘∆
2023-08-10,32,26,“ı~¥Û”Í
2023-09-01,30,25,“ı~¥Û±©”Í
2023-09-02,28,26,“ı~’Û”Í
2023-09-03,32,27,“ı~∂‡‘∆
2023-09-04,34,27,“ı~∂‡‘∆
2023-09-05,31,27,“ı~¿◊’Û”Í
2023-09-06,31,26,“ı~’Û”Í
2023-09-07,30,26,“ı~’Û”Í
2023-09-08,28,26,–°”Í~¥Û”Í
2023-09-09,28,26,“ı~¥Û”Í
2023-09-10,28,26,“ı~’Û”Í
2023-10-01,34,28,“ı~∂‡‘∆
2023-10-02,33,28,“ı~«Á
2023-10-03,33,28,“ı~«Á
2023-10-04,34,28,“ı~«Á
2023-10-05,34,26,“ı~∂‡‘∆
2023-10-06,31,24,“ı~’Û”Í
2023-10-07,27,23,“ı~’Û”Í
2023-10-08,25,23,–°”Í~¥Û”Í
2023-10-09,26,24,±©”Í~¥Û”Í
2023-10-10,28,24,“ı~∂‡‘∆
2023-11-01,29,24,∂‡‘∆~«Á
2023-11-02,29,24,“ı~«Á
2023-11-03,29,25,“ı~«Á
2023-11-04,30,24,“ı~∂‡‘∆
2023-11-05,30,24,“ı~’Û”Í
2023-11-06,30,23,“ı~∂‡‘∆
2023-11-07,29,25,“ı~∂‡‘∆
2023-11-08,28,25,“ı~∂‡‘∆
2023-11-09,28,25,“ı~’Û”Í
2023-11-10,29,24,“ı~–°”Í
2023-12-01,23,18,“ı~∂‡‘∆
2023-12-02,22,20,“ı~∂‡‘∆
2023-12-03,24,20,“ı
2023-12-04,24,20,“ı~∂‡‘∆
2023-12-05,25,20,«Á~“ı
2023-12-06,24,18,“ı~∂‡‘∆
2023-12-07,24,20,«Á~∂‡‘∆
2023-12-08,24,21,“ı~∂‡‘∆
2023-12-09,25,22,“ı
2023-12-10,26,23,“ı
